"","User","Aversion.to.drinking.or.eating.2E","Becoming.suspicious.of.others.2E","Being.unable.to.stop.tears.2E","Breathlessness.2E","Choking.sensation..lump.in.throat.2E","Clenching.teeth.2E","Difficulty.swallowing.2E","Dizziness.2E","Fainting.2E","Fast.heartbeat.when.you.are.with.or.thinking.about.someone.2E","Fast.heartbeat.2E","Feeling.as.if.nothing.is.pleasurable.any.more.2E","Feeling.as.if.you.can.t.stop.crying..or.if.you","Feeling.at.peace.2E","Feeling.calm.all.the.way.through.2E","Feeling.contaminated..dirty..unclean.2E","Feeling.empty.2E","Feeling.excited.and.full.of.energy.when.you.are.with.or.thinking.about.someone.2E","Feeling.excited.2E","Feeling.happy..joyful..or.exuberant.when.you.are.with.or.thinking.about.someone.2E","Feeling.helpless.2E","Feeling.invulnerable.when.you.are.with.or.thinking.about.someone.2E","Feeling.lethargic..listless..wanting.to.stay.in.bed.all.day.2E","Feeling.like.giggling.or.laughing.2E","Feeling.like.you.are.going.to.explode.2E","Feeling.mentally.polluted.2E","Feeling.motivated.to.improve.yourself.2E","Feeling.nauseated.2E","Feeling.of..butterflies..in.stomach.2E","Feeling.open.or.expansive.2E","Feeling.physically.energetic..active.2E","Feeling.pleasure.when.others.experience.failure.or.lose.what.they.have.2E","Feeling.relaxed.and.calm.when.you.are.with.or.thinking.about.someone.2E","Feeling.rigidity.in.your.body.2E","Feeling.self.confident.when.you.are.with.or.thinking.about.someone.2E","Feeling.tired..run.down..or.low.in.energy.2E","Feeling.unhappy.if.another.person.experiences.some.good.luck.2E","Feeling.warm..trusting..and.secure.when.you.are.with.or.thinking.about.someone.2E","Feeling.your.face.flush.or.get.hot.2E","Feeling.your.face.flush.2E","Feeling.your.hairs.standing.on.end.2E","Feelings.of.nausea..sick.feeling.2E","Feelings.of.rejection.2E","Getting.cold..feeling.clammy.2E","Hands.clenching.2E","Hating.the.other.person.2E","Having.a.lump.in.your.throat.2E","Having.an.urge.to.get.even.2E","Having.injured.pride.2E","Hot..red.face.2E","Intense.urge.to.destroy.or.get.rid.of.something.2E","Jitteriness..nervousness.2E","Muscles.tensing.2E","Muscles.tensing..cramping.2E","Muscles.tightening.2E","Needing.to.be.in.control.2E","Pain.in.the.pit.of.the.stomach.2E","Pain.or.hollowness.in.your.chest.or.gut.2E","Sense.of.dread.2E","Suffocating.2E","Teeth.clamping.together.2E","Teeth.clamping.together..mouth.tightening.2E","Teeth.clenching.2E","Urge.to.keep.doing.what.is.associated.with.happiness.2E","Urge.to.run.away.or.push.away.2E","Urge.to.scream.or.call.out.2E","Urge.to.take.a.shower.2E","Urge.to.vomit..vomiting..gagging..choking.2E","Wanting.emotional.closeness.2E","Wanting.physical.closeness.or.sex.2E","Wanting.the.best.for.a.person.2E","Wanting.the.person.or.people.you.envy.to.lose.what.they.have..to.have.bad.luck..or.to.be.hurt.2E","Wanting.to.give.things.to.a.person.2E","Wanting.to.grasp.or.keep.hold.of.what.you.have.2E","Wanting.to.hide.or.cover.your.face.and.body.2E","Wanting.to.hit.someone..bang.the.wall..throw.something..blow.up.2E","Wanting.to.hurt.someone.2E","Wanting.to.hurt.the.people.you.envy.2E","Wanting.to.push.away.or.eliminate.your.rival.2E","Wanting.to.run.away.or.avoid.things.2E","Wanting.to.see.and.spend.time.with.a.person.2E","Wanting.to.shrink.down.and.2For.disappear.2E","Wanting.to.spend.your.life.with.a.person.2E","ever.start.crying.you.will.never.be.able.to.stop.2E","Feeling.as.if.you.can.t.stop.crying..or.if.you.ever.start.crying.you.will.never.be.able.to.stop.2E","Did.the.app.help.you.figure.out.your.emotion.s.","How.likely.are.you.to.use.it.on.COMPUTER..and.why","How.likely.are.you.to.use.it.on.PHONE..and.why","How.likely.are.you.to.use.it.on.ROBOT..and.why","I.would.use.this.app.in.real.life.2E","In.which.future.situations.or.moments.would.you.want.to.use.this.app.most","In.which.situations.would.you.prefer.COMPUTER.over.the.others","In.which.situations.would.you.prefer.PHONE.over.the.others","In.which.situations.would.you.prefer.ROBOT.over.the.others","This.app.would.be.useful.to.me.in.the.future.2E","What.would.you.add.or.change..and.why","Which.features.did.you.like.the.least","Which.features.did.you.like.the.most","Which.specific.parts.of.the.app.were.most.helpful.and.why","am","iz","NA","Enter.email.address.to.begin"
"1","801NGm9hMlRoTt8xg1rHQPz3tnX2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","9653SaXsx2QI0I9RGlHBfF8bcLr1","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","BJzwBJoAOfdnvVwnJgxGBZWy1wi2","true","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","false","true","false","false","true","false","false","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Jw4MSaXLJlYPTitMVKOStP9bymB2","false",NA,"false","true","true","false",NA,NA,"false",NA,"false",NA,NA,NA,NA,"false",NA,NA,NA,NA,NA,NA,NA,NA,"false","false","false","false","false",NA,NA,"false",NA,"false",NA,NA,"false",NA,"false",NA,"false","false",NA,"false","false","false","false","false",NA,NA,"false",NA,NA,NA,"false",NA,"false",NA,NA,NA,"true","false",NA,NA,"false",NA,"true","true",NA,NA,NA,"false",NA,NA,NA,"true","false","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","KGsFfJkCHcPf3tkgROy1Bwf2wtC2","false","false","false","false","false","false","false","false","false","false","false","false",NA,"false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",NA,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MTbIE2HAVPc6N9OCOH70ninJKrw2","false","false","false","false","false","false","false","false","false","false","false","false",NA,"false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",NA,"false","","","","","","","","","","","","","","",NA,NA,NA,NA
"7","OZQSBfzRGkembUMR7lG1XtFcUo03","true","false","false","false","false","false","false","false","false","false","false","false",NA,"false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",NA,"false",NA,"","","",NA,NA,"","","",NA,NA,NA,NA,NA,"meeee","fineook",NA,NA
"8","PlbeBBdfAXcYj0Vd4q9ITL5WTEw2","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",NA,"","","","","Agree","asfd","","","","Strongly Disagree","asf","asdf","asdf","asfasdf",NA,NA,"","leahp62@gmail%2Ecom"
"9","U09Q6HdVmNfog0p4cMaLvmVTQwt1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","leahp62@gmail%2Ecom"
"10","gDD3goGTbkOM815VPV1CLBb4Zpk2","false",NA,"false",NA,NA,NA,NA,NA,"true",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"false",NA,NA,"false",NA,NA,"false",NA,"true",NA,NA,NA,"true",NA,NA,NA,NA,NA,NA,NA,NA,NA,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"false","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","lab-demo-only"
